start_node,end_node,path,path_length,edges_used,replaced_path,replaced_start_node
466,17,466→603→310→436→576073704→88→414→609→50→158→634→17,11,26,alv→fi→SF→fx→PeF→AHN→SPFm→SPA→PRC→pc→NPC→SCiw,alv
466,26,466→603→310→436→576073704→88→414→609→50→158→634→17→26,12,27,alv→fi→SF→fx→PeF→AHN→SPFm→SPA→PRC→pc→NPC→SCiw→SCdg,alv
466,10,466→603→310→436→576073704→88→414→609→50→158→634→17→10,12,31,alv→fi→SF→fx→PeF→AHN→SPFm→SPA→PRC→pc→NPC→SCiw→SCig,alv
579,30,579→466→603→310→436→576073704→88→693→347→30,9,20,ec→alv→fi→SF→fx→PeF→AHN→VMH→SBPV→PVa,ec
579,140,579→466→603→310→436→946→560581559→181→609→140,9,20,ec→alv→fi→SF→fx→PH→Xi→RE→SPA→AQ,ec
28,20,28→139→52→20,3,3,ENTl6a→ENTl5→ENTl3→ENTl2,ENTl6a
502,312782582,502→466→579→484682520→312782652→312782648→312782644→289→234→1127→312782578→312782582,11,15,SUB→alv→ec→or→VISpor6b→VISpor6a→VISpor5→TEa5→TEa4→TEa2/3→VISli1→VISli2/3,SUB
502,312782632,502→443→743→727→664→543→20→312782636→312782632,8,17,SUB→dhc→ENTm6→ENTm5→ENTm3→ENTm2→ENTl2→VISpor2/3→VISpor1,SUB
743,607344834,743→443→579→484682520→971→466→603→258→310→436→194→210→606826647→525→607344834,14,36,ENTm6→dhc→ec→or→fp→alv→fi→LSr→SF→fx→LHA→LM→MMl→SUM→IPR,ENTm6
743,269,743→727→843→484682508→610→902→269,6,8,ENTm6→ENTm5→PAR→APr→RSPd5→VISpl5→VISpl2/3,ENTm6
743,750,743→727→843→484682508→610→902→269→750,7,9,ENTm6→ENTm5→PAR→APr→RSPd5→VISpl5→VISpl2/3→VISpl1,ENTm6
579,10704,579→466→502→484682470→382→423→463→10704,7,10,ec→alv→SUB→ProS→CA1→CA2→CA3→DG-po,ec
579,632,579→466→502→484682470→382→423→463→10704→632,8,11,ec→alv→SUB→ProS→CA1→CA2→CA3→DG-po→DG-sg,ec
579,986,579→484682520→971→466→986,4,7,ec→or→fp→alv→ccs,ec
484682520,1104,484682520→579→971→466→603→310→436→38→149→599→1120→1096→1104,12,30,or→ec→fp→alv→fi→SF→fx→PVH→PVT→CM→IAM→AMd→AMv,or
484682520,1096,484682520→579→971→466→603→310→436→38→149→599→1120→1096,11,31,or→ec→fp→alv→fi→SF→fx→PVH→PVT→CM→IAM→AMd,or
312782652,484682520,312782652→484682520,1,1,VISpor6b→or,VISpor6b
312782652,312782652,312782652,0,1,VISpor6b,VISpor6b
312782652,603,312782652→484682520→971→466→603,4,15,VISpor6b→or→fp→alv→fi,VISpor6b
312782652,579,312782652→484682520→579,2,3,VISpor6b→or→ec,VISpor6b
312782652,502,312782652→484682520→579→466→502,4,5,VISpor6b→or→ec→alv→SUB,VISpor6b
312782652,484682470,312782652→484682520→971→466→484682470,4,7,VISpor6b→or→fp→alv→ProS,VISpor6b
312782652,971,312782652→484682520→971,2,3,VISpor6b→or→fp,VISpor6b
312782652,443,312782652→484682520→579→443,3,6,VISpor6b→or→ec→dhc,VISpor6b
312782652,466,312782652→484682520→579→466,3,6,VISpor6b→or→ec→alv,VISpor6b
312782652,382,312782652→484682520→971→466→382,4,8,VISpor6b→or→fp→alv→CA1,VISpor6b
312782652,581,312782652→484682520→971→466→603→310→581,6,17,VISpor6b→or→fp→alv→fi→SF→TRS,VISpor6b
312782652,1120,312782652→484682520→971→466→603→310→436→802→15→181→189→1120,11,24,VISpor6b→or→fp→alv→fi→SF→fx→sm→PT→RE→RH→IAM,VISpor6b
382,393,382→466→443→579→393,4,13,CA1→alv→dhc→ec→VISpl6b,CA1
382,214,382→443→530→258→310→436→576073704→63→685→128→214,10,33,CA1→dhc→df→LSr→SF→fx→PeF→PVHd→VM→MRN→RN,CA1
463,1121,463→10703→382→484682470→502→743→28→139→727→664→543→526→1121,12,13,CA3→DG-mo→CA1→ProS→SUB→ENTm6→ENTl6a→ENTl5→ENTm5→ENTm3→ENTm2→ENTm1→ENTl1,CA3
463,312782632,463→10704→632→10703→1084→502→28→139→52→20→1121→312782632,11,11,CA3→DG-po→DG-sg→DG-mo→PRE→SUB→ENTl6a→ENTl5→ENTl3→ENTl2→ENTl1→VISpor1,CA3
463,338,463→466→603→449→338,4,14,CA3→alv→fi→vhc→SFO,CA3
10704,605,10704→463→466→603→310→564→605,6,17,DG-po→CA3→alv→fi→SF→MS→TTv,DG-po
10704,266,10704→463→466→603→310→564→266,6,13,DG-po→CA3→alv→fi→SF→MS→LSv,DG-po
10704,1037,10704→632→10703→1037,3,5,DG-po→DG-sg→DG-mo→POST,DG-po
10704,443,10704→463→466→443,3,12,DG-po→CA3→alv→dhc,DG-po
